"country_or_area","labour_force_participation_rate_female_percent","labour_force_participation_rate_male_percent","percent_ever_married_female_aged_15_19","percent_ever_married_male_aged_15_19","mean_age_at_marriage_female","mean_age_at_marriage_male","contraceptive_prevalence_rate_any_method_percent","womens_share_of_tertiary_enrolment_percent","womens_share_of_labour_force_percent","adult_literacy_rate_male_percent","adult_literacy_rate_female_percent","abortion_rate_per_1000_women","total_fertility_rate_per_woman"
"Afghanistan","37.4","87.3",NA,NA,NA,NA,"4.8","20","28.3","43.1","12.6",NA,"7.9"
"Albania","57.1","82.8","9.6","0.9","22.9","27","57.5","60","39.4","99.2","98.3","9.6","3.1"
"Algeria","19.5","76.5","9.6","0.8","25.9",NA,"50.9","51","20.5","63.4","35.8",NA,"5.3"
"American Samoa",NA,NA,"4.7","1.6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra",NA,NA,NA,NA,NA,NA,NA,"50",NA,NA,NA,NA,NA
"Angola","73.9","91.6",NA,NA,NA,NA,"8.1","39","46","82.9","54.2",NA,"7.2"
"Anguilla",NA,NA,"1.6","0",NA,NA,NA,"…",NA,NA,NA,NA,NA
"Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,"…",NA,NA,NA,NA,NA
"Argentina","32.5","77.5","12.4","2.7","23.3","25.8",NA,"62","30.8","96.2","96",NA,"3.1"
"Armenia","66.8","81.4","7.9","0.8","23",NA,"60.5","54","47.1","99.4","98.2","13.9","2.6"
"Aruba",NA,NA,"3.2","0.4",NA,NA,NA,"61",NA,"97.5","97.1",NA,"2.3"
"Australia","45.8","75.4","2.4","0.6","28.7","30.9",NA,"54","38.3",NA,NA,"19.7","1.9"
"Austria","40.2","70.7","2.7","0.6","26.1","28.9","50.8","50","39.4",NA,NA,"1.3","1.5"
"Azerbaijan","62.3","77.3","7.5","1.1","23.9","27","55.1","39","47.1","99.5","98.2","9","3"
"Bahamas","59.8","78.7","3.7","0.9","27.2","29.1",NA,"…","44.2",NA,NA,NA,"2.6"
"Bahrain","22.9","88.7","6.7","0.5","25.6","28.4","61.8","62","13.9","88.5","76.9","11","4.1"
"Bangladesh","65.9","89.4","51.3","5","18.7",NA,"39.9","32","40.9","44.3","25.8",NA,"4.6"
"Barbados","57.8","75.9",NA,NA,"31.8","34.3",NA,"69","46.8",NA,NA,NA,"1.8"
"Belarus","61.7","77.1","8.1","1.6","22.8","25.4","50.4","56","49.1","99.4","96.6","31.7","2"
"Belgium","36.4","64.4","2.5","0.3","27.9","30.3","78.4","53","37.9",NA,NA,"7.5","1.6"
"Belize","27.4","84.3","7.9","1.4","26.2","28.4","46.7","65","24","70.3","70.3",NA,"4.7"
"Benin","57.1","88.4",NA,NA,"19.9",NA,"16.4","21","41.1","39.9","16.6",NA,"6.9"
"Bermuda",NA,NA,"0.9","0",NA,NA,NA,"55",NA,NA,NA,NA,NA
"Bhutan","36.1","86",NA,NA,"20.5","23.8","18.8","36","28.1",NA,NA,NA,"6.2"
"Bolivia","43.5","83.4","11","2.9","22.8","25.4","45.3",NA,"35.4","88.2","72.3",NA,"5"
"Bosnia and Herzegovina","60.5","77.7",NA,NA,NA,NA,"47.5",NA,"45.2","99","94.4",NA,"1.9"
"Botswana","60.9","80.6","5.4","2.3","26.9","30.9","40.4","44","45.1","65.4","71.3",NA,"5.1"
"Brazil","41.3","85.6","16.5","3.3","23.4","25.4","76.7","56","33.1","86.2","86.5","0","3.1"
"British Virgin Islands",NA,NA,"1.3","0.2",NA,NA,NA,"70",NA,NA,NA,NA,NA
