"","gdp_per_capita","democracy_dictatorship_score","type_of_government","percent_women_in_parliament","income_ratio"
"Afghanistan","$800","Dictatorship","Civilian Dictatorship","27.7%","5.601"
"Albania","$5,700","Democracy","Parliamentary Democracy","7.1%","1.446"
"Algeria","$7,600","Dictatorship","Civilian Dictatorship","7.7%","5.478"
"Angola","$4,500","Dictatorship","Civilian Dictatorship","15.0%","1.293"
"Argentina","$15,200","Democracy","Presidential Democracy","40.0%","2.000"
"Armenia","$5,700","Democracy","Semi-Presidential Democracy","9.2%","1.932"
"Australia","$33,300","Democracy","Parliamentary Democracy","26.7%","1.468"
"Austria","$34,700","Democracy","Semi-Presidential Democracy","32.8%","1.560"
"Azerbaijan","$7,500","Dictatorship","Civilian Dictatorship","11.4%","2.010"
"Bahrain","$25,600","Dictatorship","Royal Dictatorship","2.5%","2.937"
"Barbados","$18,400","Democracy","Parliamentary Democracy","13.3%","1.361"
"Belarus","$8,100","Dictatorship","Civilian Dictatorship","29.1%","1.454"
"Belgium","$33,000","Democracy","Parliamentary Democracy","35.3%","1.542"
"Belize","$8,400","Democracy","Parliamentary Democracy","3.3%","1.521"
"Benin","$1,100","Democracy","Presidential Democracy","10.8%","1.297"
"Bhutan","$1,400","Democracy","Parliamentary Democracy","2.7%","1.648"
"Bolivia","$3,100","Democracy","Presidential Democracy","16.9%","1.864"
"Bosnia and Herzegovina","$5,600","Dictatorship","Civilian Dictatorship","11.9%","2.053"
"Botswana","$10,900","Dictatorship","Military Dictatorship","11.1%","1.468"
"Brazil","$8,800","Democracy","Presidential Democracy","9.0%","1.744"
"Bulgaria","$10,700","Democracy","Semi-Presidential Democracy","21.7%","1.552"
"Burkina Faso","$1,400","Dictatorship","Military Dictatorship","15.3%","1.562"
"Burundi","$700","Democracy","Presidential Democracy","30.5%","0.736"
"Cambodia","$2,800","Dictatorship","Royal Dictatorship","19.5%","1.306"
"Cameroon","$2,500","Dictatorship","Civilian Dictatorship","13.9%","1.410"
"Canada","$35,700","Democracy","Parliamentary Democracy","21.3%","1.491"
"Cape Verde","$6,000","Democracy","Semi-Presidential Democracy","18.1%","1.789"
"Central African Republic","$1,200","Dictatorship","Military Dictatorship","10.5%","1.553"
"Chad","$1,500","Dictatorship","Military Dictatorship","5.2%","1.479"
"Chile","$12,600","Democracy","Presidential Democracy","15.0%","1.903"
"China","$7,800","Dictatorship","Civilian Dictatorship","20.6%","1.518"
"Colombia","$8,600","Democracy","Presidential Democracy","8.4%","1.528"
"Comoros","$600","Democracy","Presidential Democracy","3.0%","1.718"
"Costa Rica","$12,500","Democracy","Presidential Democracy","36.8%","1.809"
"Croatia","$13,400","Democracy","Semi-Presidential Democracy","20.9%","1.552"
"Cuba","$4,100","Dictatorship","Military Dictatorship","36.0%","2.009"
"Cyprus","$23,000","Democracy","Presidential Democracy","14.3%","1.375"
