"","gdp_per_capita","democracy_dictatorship_score","type_of_government","percent_women_in_parliament","income_ratio","hdi_score","hdi_tiers"
"Afghanistan",800,"Dictatorship","Civilian Dictatorship",27.7,5.601,0.424,"low"
"Albania",5700,"Democracy","Parliamentary Democracy",7.1,1.446,0.73,"high"
"Algeria",7600,"Dictatorship","Civilian Dictatorship",7.7,5.478,0.697,"medium"
"Angola",4500,"Dictatorship","Civilian Dictatorship",15,1.293,0.475,"low"
"Argentina",15200,"Democracy","Presidential Democracy",40,2,0.817,"very high"
"Armenia",5700,"Democracy","Semi-Presidential Democracy",9.2,1.932,0.738,"high"
"Australia",33300,"Democracy","Parliamentary Democracy",26.7,1.468,0.915,"very high"
"Austria",34700,"Democracy","Semi-Presidential Democracy",32.8,1.56,0.896,"very high"
"Azerbaijan",7500,"Dictatorship","Civilian Dictatorship",11.4,2.01,0.706,"high"
"Bahrain",25600,"Dictatorship","Royal Dictatorship",2.5,2.937,0.807,"very high"
"Barbados",18400,"Democracy","Parliamentary Democracy",13.3,1.361,0.786,"high"
"Belarus",8100,"Dictatorship","Civilian Dictatorship",29.1,1.454,0.773,"high"
"Belgium",33000,"Democracy","Parliamentary Democracy",35.3,1.542,0.908,"very high"
"Belize",8400,"Democracy","Parliamentary Democracy",3.3,1.521,0.685,"medium"
"Benin",1100,"Democracy","Presidential Democracy",10.8,1.297,0.472,"low"
"Bhutan",1400,"Democracy","Parliamentary Democracy",2.7,1.648,0.542,"low"
"Bolivia",3100,"Democracy","Presidential Democracy",16.9,1.864,0.645,"medium"
"Bosnia and Herzegovina",5600,"Dictatorship","Civilian Dictatorship",11.9,2.053,0.707,"high"
"Botswana",10900,"Dictatorship","Military Dictatorship",11.1,1.468,0.632,"medium"
"Brazil",8800,"Democracy","Presidential Democracy",9,1.744,0.704,"high"
"Bulgaria",10700,"Democracy","Semi-Presidential Democracy",21.7,1.552,0.774,"high"
"Burkina Faso",1400,"Dictatorship","Military Dictatorship",15.3,1.562,0.334,"low"
"Burundi",700,"Democracy","Presidential Democracy",30.5,0.736,0.372,"low"
"Cambodia",2800,"Dictatorship","Royal Dictatorship",19.5,1.306,0.521,"low"
"Cameroon",2500,"Dictatorship","Civilian Dictatorship",13.9,1.41,0.489,"low"
"Canada",35700,"Democracy","Parliamentary Democracy",21.3,1.491,0.908,"very high"
"Central African Republic",1200,"Dictatorship","Military Dictatorship",10.5,1.553,0.351,"low"
"Chad",1500,"Dictatorship","Military Dictatorship",5.2,1.479,0.337,"low"
"Chile",12600,"Democracy","Presidential Democracy",15,1.903,0.801,"very high"
"China",7800,"Dictatorship","Civilian Dictatorship",20.6,1.518,0.663,"medium"
"Colombia",8600,"Democracy","Presidential Democracy",8.4,1.528,0.71,"high"
"Comoros",600,"Democracy","Presidential Democracy",3,1.718,0.5,"low"
"Costa Rica",12500,"Democracy","Presidential Democracy",36.8,1.809,0.756,"high"
"Croatia",13400,"Democracy","Semi-Presidential Democracy",20.9,1.552,0.815,"very high"
"Cuba",4100,"Dictatorship","Military Dictatorship",36,2.009,0.775,"high"
"Cyprus",23000,"Democracy","Presidential Democracy",14.3,1.375,0.848,"very high"
"Denmark",37100,"Democracy","Parliamentary Democracy",38,1.38,0.911,"very high"
"Djibouti",1000,"Dictatorship","Civilian Dictatorship",13.8,1.721,0.426,"low"
"Dominican Republic",8400,"Democracy","Presidential Democracy",19.7,2.13,0.692,"medium"
"Ecuador",4500,"Democracy","Presidential Democracy",25,1.801,0.723,"high"
"Egypt",4200,"Dictatorship","Military Dictatorship",1.8,4.073,0.655,"medium"
"El Salvador",4900,"Democracy","Presidential Democracy",16.7,1.669,0.651,"medium"
"Equatorial Guinea",50200,"Dictatorship","Military Dictatorship",18,1.564,0.578,"medium"
"Eritrea",1000,"Dictatorship","Civilian Dictatorship",22,1.411,0.457,"low"
"Estonia",20300,"Democracy","Parliamentary Democracy",20.8,1.692,0.853,"very high"
